,Minis are in Watt,Adobe's are in Cooper,,TAZ Printers are not shown on Sheet,,,  ,,,,,,,,,,,,,,,,,,,
,Mini 1,,2,Mini 2,,2,Mini 3,,2,,Mini 7,,2,Mini 8,,2,Mini 9,,2,,,,,,,
,Last Update,10/3/2025 0:26:11,2,Last Update,10/3/2025 0:26:14,2,Last Update,10/3/2025 0:26:14,2,,Last Update,10/3/2025 0:26:36,2,Last Update,10/3/2025 0:26:38,2,Last Update,10/3/2025 0:26:38,2,,,,,,,
,Status,PRINTING,2,Status,PRINTING,2,Status,PRINTING,2,,Status,PRINTING,2,Status,PRINTING,2,Status,PRINTING,2,,,,,,,
,Percent Complete,64%,2,Percent Complete,75%,2,Percent Complete,84%,2,,Percent Complete,85%,2,Percent Complete,66%,2,Percent Complete,81%,2,,,,,,,
,Time Remaining,7:36:00,2,Time Remaining,3:37:00,2,Time Remaining,2:38:00,2,,Time Remaining,2:29:00,2,Time Remaining,7:13:00,2,Time Remaining,3:11:00,2,,,,,,,
,Print Name,,2,Print Name,,2,Print Name,,2,,Print Name,,2,Print Name,,2,Print Name,,2,,,,,,,
,bmw e93 wing mark 3 part 3b_0.4n_0.2mm_PLA_MK4_21h13m.bgcode,,2,Bottle_Basestl_0.4n_0.2mm_PLA_MK4_14h41m.bgcode,,2,Forearm-Bottom-Main_0.4n_0.2mm_PLA_MK4_16h54m.bgcode,,2,,Rotating Pokemon card holder v9_0.4n_0.2mm_PLA_MK4_17h26m.gcode,,2,treasurechest_0.4n_0.15mm_PLA_MK4_21h33m.gcode,,2,articulatedcuteplatypus (1)_0.4n_0.2mm_PLA_MK4_17h33m.bgcode,,2,,,,,,,
,Operational,,2,Operational,,2,Operational,,2,,Operational,,2,Operational,,2,Operational,,2,,,,,,,
,Mini 4,,1,Mini 5,,1,Mini 6,,2,,Mini 10,,2,Mini 11,,2,Mini 12,,2,,,,,,,
,Last Update,10/3/2025 0:26:16,1,Last Update,10/3/2025 0:26:17,1,Last Update,10/3/2025 0:26:35,2,,Last Update,10/3/2025 0:26:39,2,Last Update,10/3/2025 0:26:39,2,Last Update,10/3/2025 0:26:10,2,,,,,,,
,Status,FINISHED,1,Status,FINISHED,1,Status,PRINTING,2,,Status,PRINTING,2,Status,PRINTING,2,Status,PRINTING,2,,,,,,,
,Percent Complete,99%,1,Percent Complete,99%,1,Percent Complete,59%,2,,Percent Complete,48%,2,Percent Complete,68%,2,Percent Complete,69%,2,,,,,,,
,Time Remaining,0:00:00,1,Time Remaining,0:00:00,1,Time Remaining,7:03:00,2,,Time Remaining,14:30:00,2,Time Remaining,6:45:00,2,Time Remaining,6:38:00,2,,,,,,,
,Print Name,,1,Print Name,,1,Print Name,,2,,Print Name,,2,Print Name,,2,Print Name,,2,,,,,,,
,cewlkr_print_0.4n_0.15mm_PLA_MK4_11h9m.bgcode,,1,MINEEEEE_0.4n_0.2mm_PLA_MK4_11h14m.bgcode,,1,Left_Ear_Flat_V2_0.4n_0.1mm_PLA_MK4_17h19m.bgcode,,2,,Defiler leg1_0.4n_0.2mm_PLA_MK4_1d4h12m.bgcode,,2,pumpkin.bgcode,,2,pumpkinz.gcode,,2,,,,,,,
,Operational,,1,Operational,,1,Operational,,2,,Operational,,2,Operational,,2,Operational,,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adobe 1,,2,Adobe 2,,2,Adobe 3,,2,,Adobe 7,,1,Adobe 8,,2,Adobe 9,,1,,Adobe 13,,1,Adobe 14,,1
,Last Update,10/3/2025 0:26:25,2,Last Update,10/3/2025 0:26:26,2,Last Update,10/3/2025 0:26:26,2,,Last Update,10/3/2025 0:26:28,1,Last Update,10/3/2025 0:26:29,2,Last Update,10/3/2025 0:26:29,1,,Last Update,10/3/2025 0:26:32,1,Last Update,10/3/2025 0:26:33,1
,Status,PRINTING,2,Status,PRINTING,2,Status,PRINTING,2,,Status,FINISHED,1,Status,PRINTING,2,Status,IDLE,1,,Status,FINISHED,1,Status,FINISHED,1
,Percent Complete,91%,2,Percent Complete,59%,2,Percent Complete,73%,2,,Percent Complete,99%,1,Percent Complete,50%,2,Percent Complete,32%,1,,Percent Complete,99%,1,Percent Complete,99%,1
,Time Remaining,3:36:00,2,Time Remaining,9:51:00,2,Time Remaining,5:13:00,2,,Time Remaining,0:00:00,1,Time Remaining,12:27:00,2,Time Remaining,3:10:00,1,,Time Remaining,0:00:00,1,Time Remaining,0:00:00,1
,Print Name,,2,Print Name,,2,Print Name,,2,,Print Name,,1,Print Name,,2,Print Name,,1,,Print Name,,1,Print Name,,1
,Project 1 Container_0.4n_0.2mm_PLA_MK4_1d17h35m.bgcode,,2,Pen_holder_complete_0.4n_0.2mm_PLA_MK4_1d0h7m.bgcode,,2,CostumePieces.bgcode,,2,,DDPD23HeadRings_0.4n_0.15mm_PLA_MK4_6h53m.bgcode,,1,BallTop (1)_0.4n_0.2mm_PLA_MK4_1d0h59m.bgcode,,2,Nut_Stand_0.4n_0.1mm_PLA_MK4_4h42m.bgcode,,1,,Body_P_F_0.4n_0.15mm_PLA_MK4_5h14m.bgcode,,1,Pumpkin Bottom_0.4n_0.15mm_PLA_MK4_1d1h22m.bgcode,,1
,Operational,,2,Operational,,2,Operational,,2,,Operational,,1,Operational,,2,Operational,,1,,Operational,,1,Operational,,1
,Adobe 4,,2,Adobe 5,,2,Adobe 6,,1,,Adobe 10,,1,Adobe 11,,1,Adobe 12,,1,,Adobe 15,,1,Adobe 16,,1
,Last Update,10/3/2025 0:26:27,2,Last Update,10/3/2025 0:26:27,2,Last Update,10/3/2025 0:26:28,1,,Last Update,10/3/2025 0:26:30,1,Last Update,10/3/2025 0:26:30,1,Last Update,10/3/2025 0:26:31,1,,Last Update,10/3/2025 0:26:33,1,Last Update,10/3/2025 0:26:34,1
,Status,PRINTING,2,Status,PRINTING,2,Status,FINISHED,1,,Status,FINISHED,1,Status,FINISHED,1,Status,IDLE,1,,Status,FINISHED,1,Status,FINISHED,1
,Percent Complete,71%,2,Percent Complete,44%,2,Percent Complete,100%,1,,Percent Complete,100%,1,Percent Complete,99%,1,Percent Complete,100%,1,,Percent Complete,100%,1,Percent Complete,99%,1
,Time Remaining,4:24:00,2,Time Remaining,6:03:00,2,Time Remaining,0:00:00,1,,Time Remaining,0:00:00,1,Time Remaining,0:00:00,1,Time Remaining,0:00:00,1,,Time Remaining,0:00:00,1,Time Remaining,0:00:00,1
,Print Name,,2,Print Name,,2,Print Name,,1,,Print Name,,1,Print Name,,1,Print Name,,1,,Print Name,,1,Print Name,,1
,akewea-light3-gu10-cube-studio-light-diffuse-dome_0.4n_0.2mm_PLA_MK4_15h39m.bgcode,,2,CP Test Print 5.bgcode,,2,livewellCap2.0_0.4n_0.15mm_PLA_MK4_10h13m.bgcode,,1,,Top Mhall_0.4n_0.2mm_PLA_MK4_1d4h7m.bgcode,,1,Flowercreativetask-ennap - Copy_0.4n_0.2mm_PLA_MK4_4h43m.bgcode,,1,Assem1 - Part5^Assem1-1_0.4n_0.3mm_PLA_MK4_7h38m.bgcode,,1,,SideShroud-BB-v1.5_0.4n_0.15mm_PLA_MK4_9h46m.bgcode,,1,GT Fender Rev D4 Grooves_0.4n_0.2mm_PLA_MK4_1d10h43m.bgcode,,1
,Operational,,2,Operational,,2,Operational,,1,,Operational,,1,Operational,,1,Operational,,1,,Operational,,1,Operational,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soonest Avalible Printer,,,Time Remaining (mins),,,,,,,,,,,,,,,,,,,,,,
,Next Avalible ,Mini 4,,0.0,Printers are FIRST COME FIRST SERVE,,,,,,,,,,,,,,,,,,,,,
,Second Soonest,Mini 4,,0.0,,,,,,,,,,,,,,,,,,,,,,
,Third Soonest,Mini 4,,0.0,   ,,,,,,,,,,,,,,,,,,,,,
,Fourth Soonest,Mini 4,,0.0,,,,,,,,,,,,,,,,,,,,,,
,Fifth Soonest,Mini 4,,0.0,,,,,,,,,,,,,,,,,,,,,,
,No Shot,Mini 10,,870,,,,,,,,,,,,,,,,,,,,,,
,Taz 7,Taz 7,,3.53E+29,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mini 4,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,Mini 5,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,,,,,,,,,